x,y,z
1000,1000,40
1062.5,1000,48.30849196
1125,1000,54.14053841
1187.5,1000,52.73536186
1250,1000,63.3710961
1312.5,1000,66.93715223
1375,1000,79.05769676
1437.5,1000,93.41434732
1500,1000,104.4502921
1562.5,1000,115.0085697
1625,1000,126.802937
1687.5,1000,144.7551527
1750,1000,146.5572438
1812.5,1000,154.5856875
1875,1000,166.3567513
1937.5,1000,170.6131912
2000,1000,180.4613325
2062.5,1000,191.4868988
2125,1000,209.1877502
2187.5,1000,221.2416576
2250,1000,227.2988677
2312.5,1000,237.262769
2375,1000,250.9680348
2437.5,1000,268.0800349
2500,1000,291.4930909
2562.5,1000,296.2721601
2625,1000,301.8675189
2687.5,1000,310.647025
2750,1000,308.1615321
2812.5,1000,320.4996258
2875,1000,333.9699226
2937.5,1000,344.9130927
3000,1000,348.2591842
3062.5,1000,344.8382346
3125,1000,338.1007261
3187.5,1000,334.3914401
3250,1000,332.5784603
3312.5,1000,325.6121453
3375,1000,316.3933872
3437.5,1000,317.0267891
3500,1000,321.8814955
3562.5,1000,311.0728591
3625,1000,300.9196819
3687.5,1000,293.3202199
3750,1000,287.5754459
3812.5,1000,294.7649675
3875,1000,296.9414329
3937.5,1000,295.7650129
4000,1000,298.0880021
4062.5,1000,311.8557073
4125,1000,326.0912434
4187.5,1000,322.4616785
4250,1000,314.3294303
4312.5,1000,324.8531398
4375,1000,340.2464141
4437.5,1000,353.8677114
4500,1000,361.4891071
4562.5,1000,352.0373113
4625,1000,352.5931159
4687.5,1000,357.9446628
4750,1000,365.8880716
4812.5,1000,375.2547801
4875,1000,376.1600812
4937.5,1000,381.2451244
5000,1000,392.3862213
5062.5,1000,402.9198155
5125,1000,397.6258064
5187.5,1000,393.8698874
5250,1000,388.690287
5312.5,1000,397.2691688
5375,1000,403.1404496
5437.5,1000,410.2371126
5500,1000,420.9308482
5562.5,1000,418.2751941
5625,1000,421.9464251
5687.5,1000,422.8565579
5750,1000,431.3993877
5812.5,1000,433.7357557
5875,1000,442.754287
5937.5,1000,448.1675297
6000,1000,442.0975803
6062.5,1000,440.0399409
6125,1000,442.2602649
6187.5,1000,453.3519935
6250,1000,454.3858518
6312.5,1000,446.3395193
6375,1000,439.6483562
